date,DailyNewConnectedAccount,PeakConcurrentUser,DailyUniqueVisitor,DailyUniquePurchaser,Revenue (USD),Revenue (BRL),Exchange Rate
"Wednesday, March 07, 2018",60,3174,8704,251,4122.33,13311,3.229
"Thursday, March 08, 2018",52,3568,9885,399,5557.48,18014,3.2414
"Friday, March 09, 2018",40,3384,9701,386,3635.86,11862,3.2625
"Saturday, March 10, 2018",48,3426,9564,420,3360.31,10963,3.2625
"Sunday, March 11, 2018",59,3376,9660,357,3674.79,11989,3.2625
"Monday, March 12, 2018",58,3455,9336,305,3638.07,11855,3.2586
"Tuesday, March 13, 2018",41,3435,9375,395,6103.3,19793,3.243
