Date,Daily New Connecting Account,Daily Peak Concurrent User,Daily Unique Visitor,Daily Unique Purchaser,Daily Revenue (USD),ARPPU (USD),ARPU (USD),Daily Revenue (BRL),Exchange Rate
"Wednesday, April 15, 2015",321,12200,3559,140,1782.46,12.73,0.5,5503,3.0873
"Tuesday, April 14, 2015",239,11934,3550,143,1317.56,9.21,0.37,4098,3.1103
"Monday, April 13, 2015",303,12533,3779,133,1308.74,9.84,0.35,4055,3.0984
"Sunday, April 12, 2015",361,12865,3776,204,1529.52,7.5,0.41,4723,3.0879
"Saturday, April 11, 2015",471,13214,3664,213,2241.33,10.52,0.61,6921,3.0879
"Friday, April 10, 2015",434,13832,3848,183,2487.45,13.59,0.65,7681,3.0879
"Thursday, April 09, 2015",418,12871,3817,169,2101.34,12.43,0.55,6374,3.0333
"Wednesday, April 08, 2015",309,11375,3481,110,1807.89,16.44,0.52,5605,3.1003
"Tuesday, April 07, 2015",389,12130,3669,153,2212.22,14.46,0.6,6930,3.1326
"Monday, April 06, 2015",295,12551,3590,162,1380.14,8.52,0.38,4372,3.1678
"Sunday, April 05, 2015",362,12322,3861,204,1541.45,7.56,0.4,4883,3.1678
"Saturday, April 04, 2015",357,12057,3744,175,1689.5,9.65,0.45,5352,3.1678
"Friday, April 03, 2015",453,12808,3686,229,2848.03,12.44,0.77,9022,3.1678
"Thursday, April 02, 2015",415,12381,3546,202,2774.17,13.73,0.78,8788,3.1678
"Wednesday, April 01, 2015",292,11575,3371,140,1636.61,11.69,0.49,5173,3.1608
"Tuesday, March 31, 2015",273,11574,3311,132,1374.49,10.41,0.42,4466,3.2492
"Monday, March 30, 2015",234,11544,3403,146,1123.6,7.7,0.33,3690,3.2841
"Sunday, March 29, 2015",291,12118,3656,204,1163.31,5.7,0.32,3734,3.2098
"Saturday, March 28, 2015",352,12120,3290,210,1580.16,7.52,0.48,5072,3.2098
"Friday, March 27, 2015",268,11660,3188,133,1354.91,10.19,0.43,4349,3.2098
"Thursday, March 26, 2015",277,11448,3194,139,1245.25,8.96,0.39,3961,3.1809
"Wednesday, March 25, 2015",240,11514,3602,132,1315.31,9.96,0.37,4111,3.1255
"Tuesday, March 24, 2015",301,12002,3913,163,1649.75,10.12,0.42,5153,3.1235
"Monday, March 23, 2015",293,12182,4021,160,1527.73,9.55,0.38,4895,3.2041
"Sunday, March 22, 2015",371,12557,4109,180,1423.94,7.91,0.35,4654,3.2684
"Saturday, March 21, 2015",435,12686,3997,185,2230.45,12.06,0.56,7290,3.2684
"Friday, March 20, 2015",308,11811,3399,150,1857.79,12.39,0.55,6072,3.2684
"Thursday, March 19, 2015",326,12003,3983,123,1777.05,14.45,0.45,5782,3.2537
"Wednesday, March 18, 2015",347,11620,3753,122,1908.43,15.64,0.51,6177,3.2367
"Tuesday, March 17, 2015",381,12094,3646,128,2222.63,17.36,0.61,7272,3.2718
"Monday, March 16, 2015",307,12047,3993,138,1679.51,12.17,0.42,5426,3.2307
"Sunday, March 15, 2015",392,12970,4244,178,1717.46,9.65,0.4,5506,3.2059
"Saturday, March 14, 2015",495,12930,3987,179,2527.53,14.12,0.63,8103,3.2059
"Friday, March 13, 2015",523,12182,3839,124,3234.35,26.08,0.84,10369,3.2059
"Thursday, March 12, 2015",499,12093,3704,140,3316.84,23.69,0.9,10323,3.1123
"Wednesday, March 11, 2015",358,11435,3541,130,2504.07,19.26,0.71,7836,3.1293
"Tuesday, March 10, 2015",490,12394,3656,195,3939.44,20.2,1.08,12360,3.1375
"Monday, March 09, 2015",341,12090,3799,140,2739.2,19.57,0.72,8480,3.0958
"Sunday, March 08, 2015",367,12618,3903,207,1721.51,8.32,0.44,5174,3.0055
"Saturday, March 07, 2015",395,12578,3721,187,2248.21,12.02,0.6,6757,3.0055
"Friday, March 06, 2015",308,11814,3524,166,1465.31,8.83,0.42,4404,3.0055
"Thursday, March 05, 2015",333,11804,3418,122,1623.02,13.3,0.47,4840,2.9821
"Wednesday, March 04, 2015",280,11779,3673,128,1485.25,11.6,0.4,4406,2.9665
"Tuesday, March 03, 2015",286,11826,3808,142,1421.07,10.01,0.37,4140,2.9133
"Monday, March 02, 2015",246,11914,3871,144,1149.16,7.98,0.3,3289,2.8621
"Sunday, March 01, 2015",317,13341,4039,167,1209.94,7.25,0.3,3507,2.8985
"Saturday, February 28, 2015",364,13340,3832,178,2026.57,11.39,0.53,5874,2.8985
"Friday, February 27, 2015",296,12084,3737,166,1574.95,9.49,0.42,4565,2.8985
"Thursday, February 26, 2015",284,12076,3802,142,1397.8,9.84,0.37,3985,2.8509
"Wednesday, February 25, 2015",305,12142,3792,140,1285.37,9.18,0.34,3670,2.8552
"Tuesday, February 24, 2015",329,12245,3943,170,1593.4,9.37,0.4,4574,2.8706
"Monday, February 23, 2015",103,12351,4257,49,259.24,5.29,0.06,751,2.8969
"Sunday, February 22, 2015",374,13378,4592,190,1338.05,7.04,0.29,3841,2.8706
"Saturday, February 21, 2015",497,13660,4439,236,2427.72,10.29,0.55,6969,2.8706
"Friday, February 20, 2015",384,13281,4440,150,2000.28,13.34,0.45,5742,2.8706
"Thursday, February 19, 2015",377,13215,4664,167,2317.27,13.88,0.5,6604,2.8499
"Wednesday, February 18, 2015",331,13542,4791,199,1683.44,8.46,0.35,4766,2.8311
"Tuesday, February 17, 2015",323,13130,4860,205,1756.93,8.57,0.36,4986,2.8379
"Monday, February 16, 2015",362,12524,4654,182,1426.71,7.84,0.31,4044,2.8345
"Sunday, February 15, 2015",358,12638,4568,214,1738.34,8.12,0.38,4948,2.8464
"Saturday, February 14, 2015",451,13024,4570,217,2188.73,10.09,0.48,6230,2.8464
"Friday, February 13, 2015",431,13199,4555,182,2754.36,15.13,0.6,7840,2.8464
"Thursday, February 12, 2015",499,13167,4701,155,3297.04,21.27,0.7,9478,2.8747
"Wednesday, February 11, 2015",386,13851,4451,170,2719.58,16.0,0.61,7781,2.8611
"Tuesday, February 10, 2015",429,13258,4948,266,2804.56,10.54,0.57,7855,2.8008
"Monday, February 09, 2015",373,13667,5013,189,2285.12,12.09,0.46,6370,2.7876
"Sunday, February 08, 2015",463,14460,5001,214,2374.23,11.09,0.47,6541,2.755
"Saturday, February 07, 2015",513,14546,4850,353,3452.99,9.78,0.71,9513,2.755
"Friday, February 06, 2015",434,14178,4765,213,2629.04,12.34,0.55,7243,2.755
"Thursday, February 05, 2015",394,13626,4684,195,2409.6,12.36,0.51,6597,2.7378
"Wednesday, February 04, 2015",276,12858,4638,188,1348.61,7.17,0.29,3643,2.7013
"Tuesday, February 03, 2015",324,14090,4538,242,1954.12,8.07,0.43,5299,2.7117
"Monday, February 02, 2015",293,13613,4695,221,1432.41,6.48,0.31,3837,2.6787
"Sunday, February 01, 2015",367,13963,4410,197,1326.68,6.73,0.3,3534,2.6638
"Saturday, January 31, 2015",395,14248,4465,244,2170.58,8.9,0.49,5782,2.6638
"Friday, January 30, 2015",387,14165,4577,218,1723.48,7.91,0.38,4591,2.6638
"Thursday, January 29, 2015",363,14239,4783,219,2194.45,10.02,0.46,5706,2.6002
"Wednesday, January 28, 2015",323,13723,4715,203,1542.09,7.6,0.33,3986,2.5848
"Tuesday, January 27, 2015",377,14157,4744,263,1936.6,7.36,0.41,5016,2.5901
"Monday, January 26, 2015",344,14227,4841,268,1555.38,5.8,0.32,4037,2.5955
"Sunday, January 25, 2015",353,14315,4572,307,1422.07,4.63,0.31,3690,2.5948
"Saturday, January 24, 2015",440,14592,4420,280,2358.95,8.42,0.53,6121,2.5948
"Friday, January 23, 2015",425,14692,4527,249,2390.55,9.6,0.53,6203,2.5948
"Thursday, January 22, 2015",373,12808,4411,189,2692.47,14.25,0.61,6942,2.5783
"Wednesday, January 21, 2015",290,12163,4372,187,1314.0,7.03,0.3,3416,2.5997
"Tuesday, January 20, 2015",339,13070,4440,207,2320.56,11.21,0.52,6088,2.6235
"Monday, January 19, 2015",285,12819,4326,213,1556.84,7.31,0.36,4092,2.6284
"Sunday, January 18, 2015",359,12737,4241,189,1893.35,10.02,0.45,4960,2.6197
"Saturday, January 17, 2015",389,12767,4088,231,2415.16,10.46,0.59,6327,2.6197
"Friday, January 16, 2015",371,12757,4170,196,3249.23,16.58,0.78,8512,2.6197
"Thursday, January 15, 2015",367,12984,4364,190,2244.84,11.81,0.51,5855,2.6082
"Wednesday, January 14, 2015",363,13141,4263,197,2582.48,13.11,0.61,6779,2.625
"Tuesday, January 13, 2015",360,13040,4172,202,2370.52,11.74,0.57,6266,2.6433
"Monday, January 12, 2015",295,13028,4325,240,1623.75,6.77,0.38,4313,2.6562
"Sunday, January 11, 2015",324,13146,4283,324,1573.46,4.86,0.37,4181,2.6572
"Saturday, January 10, 2015",357,12951,4218,267,1897.11,7.11,0.45,5041,2.6572
"Friday, January 09, 2015",320,13069,4247,198,2097.32,10.59,0.49,5573,2.6572
"Thursday, January 08, 2015",330,13232,4523,229,1917.04,8.37,0.42,5176,2.7
"Wednesday, January 07, 2015",350,12901,4537,270,2121.3,7.86,0.47,5680,2.6776
"Tuesday, January 06, 2015",397,13464,4731,238,2868.89,12.05,0.61,7744,2.6993
"Monday, January 05, 2015",339,13662,4796,220,2293.92,10.43,0.48,6225,2.7137
"Sunday, January 04, 2015",367,13385,4768,304,2299.95,7.57,0.48,6194,2.6931
"Saturday, January 03, 2015",434,12975,4557,283,2805.32,9.91,0.62,7555,2.6931
"Friday, January 02, 2015",307,12623,4566,275,1683.19,6.12,0.37,4533,2.6931
"Thursday, January 01, 2015",286,11371,4301,224,1254.95,5.6,0.29,3329,2.6527
"Wednesday, December 31, 2014",352,11626,4294,222,1983.26,8.93,0.46,5261,2.6527
"Tuesday, December 30, 2014",420,12732,4393,355,2822.82,7.95,0.64,7520,2.664
"Monday, December 29, 2014",312,12380,4650,81,1572.76,19.42,0.34,4204,2.673
"Sunday, December 28, 2014",341,12227,4513,11,1688.81,153.53,0.37,4550,2.6942
"Saturday, December 27, 2014",387,12294,4495,12,2256.7,188.06,0.5,6080,2.6942
"Friday, December 26, 2014",367,12687,4584,11,2389.95,217.27,0.52,6439,2.6942
"Thursday, December 25, 2014",368,11783,4566,14,1698.83,121.34,0.37,4577,2.6942
"Wednesday, December 24, 2014",466,12470,4719,15,3143.42,209.56,0.67,8469,2.6942
"Tuesday, December 23, 2014",423,13270,4808,5,3839.3,767.86,0.8,10216,2.6609
"Monday, December 22, 2014",365,12632,4837,231,1793.46,7.76,0.37,4748,2.6474
"Sunday, December 21, 2014",441,13254,4675,272,2468.67,9.08,0.53,6539,2.6488
"Saturday, December 20, 2014",520,13162,4415,258,3729.61,14.46,0.84,9879,2.6488
"Friday, December 19, 2014",468,13293,4542,205,4490.34,21.9,0.99,11894,2.6488
"Thursday, December 18, 2014",536,13494,4637,252,3954.12,15.69,0.85,10550,2.6681
"Wednesday, December 17, 2014",548,13714,4753,243,4589.8,18.89,0.97,12532,2.7304
"Tuesday, December 16, 2014",467,13612,4571,217,3256.34,15.01,0.71,8882,2.7276
"Monday, December 15, 2014",464,13626,4794,237,3076.06,12.98,0.64,8214,2.6703
"Sunday, December 14, 2014",628,13700,4786,232,5769.3,24.87,1.21,15325,2.6563
"Saturday, December 13, 2014",883,13689,4552,225,9874.64,43.89,2.17,26230,2.6563
"Friday, December 12, 2014",1045,13566,4700,205,9654.78,47.1,2.05,25646,2.6563
"Thursday, December 11, 2014",615,13820,4913,214,6149.48,28.74,1.25,16127,2.6225
"Wednesday, December 10, 2014",435,12582,4492,189,2501.16,13.23,0.56,6480,2.5908
"Tuesday, December 09, 2014",435,13516,4667,190,3279.62,17.26,0.7,8548,2.6064
"Monday, December 08, 2014",372,13289,4661,240,2089.65,8.71,0.45,5417,2.5923
"Sunday, December 07, 2014",415,13145,4603,218,2206.99,10.12,0.48,5683,2.575
"Saturday, December 06, 2014",501,13121,4396,226,3096.31,13.7,0.7,7973,2.575
"Friday, December 05, 2014",347,13018,4384,204,2195.73,10.76,0.5,5654,2.575
"Thursday, December 04, 2014",332,13108,4566,215,1931.94,8.99,0.42,4979,2.5772
"Wednesday, December 03, 2014",317,13002,4608,212,1956.36,9.23,0.42,5003,2.5573
"Tuesday, December 02, 2014",467,13279,4555,203,2982.93,14.69,0.65,7653,2.5656
"Monday, December 01, 2014",401,13304,4745,201,1970.69,9.8,0.42,5056,2.5656
"Sunday, November 30, 2014",513,13558,4990,219,2382.05,10.88,0.48,6074,2.5499
"Saturday, November 29, 2014",575,13426,4679,204,3063.65,15.02,0.65,7812,2.5499
"Friday, November 28, 2014",567,13122,4641,192,3411.51,17.77,0.74,8699,2.5499
"Thursday, November 27, 2014",625,13381,4862,193,3533.46,18.31,0.73,8875,2.5117
"Wednesday, November 26, 2014",303,13505,4906,223,1665.87,7.47,0.34,4185,2.5122
"Tuesday, November 25, 2014",236,12718,4817,210,1819.84,8.67,0.38,4588,2.5211
"Monday, November 24, 2014",[],[],[],[],1515.58,[],[],3837,2.5317
"Sunday, November 23, 2014",397,13667,4703,246,2269.57,9.23,0.48,5784,2.5485
"Saturday, November 22, 2014",423,13326,4491,227,2332.74,10.28,0.52,5945,2.5485
"Friday, November 21, 2014",411,13159,4379,199,3013.14,15.14,0.69,7679,2.5485
"Thursday, November 20, 2014",426,12857,4552,177,2690.23,15.2,0.59,6866,2.5522
"Wednesday, November 19, 2014",420,12822,4300,223,3165.58,14.2,0.74,8190,2.5872
"Tuesday, November 18, 2014",502,12688,4452,225,4721.02,20.98,1.06,12277,2.6005
"Monday, November 17, 2014",346,12880,4639,217,1542.91,7.11,0.33,4029,2.6113
"Sunday, November 16, 2014",376,13191,4638,253,1875.52,7.41,0.4,4918,2.6222
"Saturday, November 15, 2014",478,13189,4440,270,2385.78,8.84,0.54,6256,2.6222
"Friday, November 14, 2014",380,12817,4313,216,2291.59,10.61,0.53,6009,2.6222
"Thursday, November 13, 2014",388,12993,3853,194,2275.71,11.73,0.59,5857,2.5737
"Wednesday, November 12, 2014",328,12280,4272,195,3236.65,16.6,0.76,8291,2.5616
"Tuesday, November 11, 2014",342,12796,4302,164,2586.93,15.77,0.6,6644,2.5683
"Monday, November 10, 2014",264,12526,4307,203,1416.46,6.98,0.33,3591,2.5352
"Sunday, November 09, 2014",342,12872,4399,222,1671.77,7.53,0.38,4315,2.5811
"Saturday, November 08, 2014",394,12818,4167,217,2379.99,10.97,0.57,6143,2.5811
"Friday, November 07, 2014",334,13111,4034,198,2203.32,11.13,0.55,5687,2.5811
"Thursday, November 06, 2014",341,12595,4041,200,1999.84,10.0,0.49,5078,2.5392
"Wednesday, November 05, 2014",348,12513,4227,222,1725.77,7.77,0.41,4346,2.5183
"Tuesday, November 04, 2014",350,13512,4346,228,2363.82,10.37,0.54,5967,2.5243
"Monday, November 03, 2014",283,12807,4383,226,1485.2,6.57,0.34,3698,2.4899
"Sunday, November 02, 2014",337,13363,4507,261,1359.89,5.21,0.3,3335,2.4524
"Saturday, November 01, 2014",364,13232,4366,279,1809.66,6.49,0.41,4438,2.4524
"Friday, October 31, 2014",361,12834,4364,249,1986.63,7.98,0.46,4872,2.4524
"Thursday, October 30, 2014",328,12506,4217,193,1926.12,9.98,0.46,4656,2.4173
"Wednesday, October 29, 2014",334,11874,4139,172,1472.67,8.56,0.36,3573,2.4262
"Tuesday, October 28, 2014",436,12783,4304,198,2362.81,11.93,0.55,5873,2.4856
"Monday, October 27, 2014",363,12752,4312,215,2397.37,11.15,0.56,6079,2.5357
"Sunday, October 26, 2014",468,13155,4488,206,2329.83,11.31,0.52,5805,2.4916
"Saturday, October 25, 2014",532,13037,4264,233,3398.62,14.59,0.8,8468,2.4916
"Friday, October 24, 2014",593,12670,4139,210,3214.8,15.31,0.78,8010,2.4916
"Thursday, October 23, 2014",766,12545,4105,179,4673.62,26.11,1.14,11656,2.494
"Wednesday, October 22, 2014",390,12469,4194,169,3112.07,18.41,0.74,7731,2.4842
"Tuesday, October 21, 2014",507,12447,4313,169,4260.17,25.21,0.99,10604,2.4891
"Monday, October 20, 2014",455,12347,4326,193,4508.75,23.36,1.04,11055,2.4519
"Sunday, October 19, 2014",334,12482,4212,201,1410.54,7.02,0.33,3464,2.4558
"Saturday, October 18, 2014",346,12649,4119,196,2037.63,10.4,0.49,5004,2.4558
"Friday, October 17, 2014",337,12308,4085,162,2155.71,13.31,0.53,5294,2.4558
"Thursday, October 16, 2014",393,12330,4269,147,2540.33,17.28,0.6,6314,2.4855
"Wednesday, October 15, 2014",278,11937,4404,166,1454.93,8.76,0.33,3517,2.4173
"Tuesday, October 14, 2014",356,12701,4418,154,2085.97,13.55,0.47,5008,2.4008
"Monday, October 13, 2014",310,12770,4390,169,1774.9,10.5,0.4,4242,2.39
"Sunday, October 12, 2014",380,13459,4338,177,1566.31,8.85,0.36,3790,2.4197
"Saturday, October 11, 2014",436,13729,4139,225,3076.0,13.67,0.74,7443,2.4197
"Friday, October 10, 2014",416,13750,4119,241,2906.56,12.06,0.71,7033,2.4197
"Thursday, October 09, 2014",409,13713,4202,301,4555.59,15.13,1.08,10784,2.3672
"Wednesday, October 08, 2014",350,12723,4181,181,4376.44,24.18,1.05,10468,2.3919
"Tuesday, October 07, 2014",355,12642,4408,171,4226.14,24.71,0.96,10245,2.4242
"Monday, October 06, 2014",281,12625,4396,158,2482.94,15.71,0.56,5931,2.3887
"Sunday, October 05, 2014",301,12985,4524,205,2226.55,10.86,0.49,5549,2.4922
"Saturday, October 04, 2014",393,13148,4304,216,3920.63,18.15,0.91,9771,2.4922
"Friday, October 03, 2014",329,12676,4210,177,2730.12,15.42,0.65,6804,2.4922
"Thursday, October 02, 2014",308,12451,4277,159,1788.44,11.25,0.42,4428,2.4759
"Wednesday, October 01, 2014",351,12478,4197,69,2348.01,34.03,0.56,5770,2.4574
"Tuesday, September 30, 2014",288,12705,4207,159,2415.69,15.19,0.57,5917,2.4494
"Monday, September 29, 2014",273,12448,4392,148,1557.36,10.52,0.35,3854,2.4747
"Sunday, September 28, 2014",360,13285,4575,241,1940.98,8.05,0.42,4703,2.423
"Saturday, September 27, 2014",395,13367,4386,254,2528.68,9.96,0.58,6127,2.423
"Friday, September 26, 2014",339,13041,4258,178,2482.05,13.94,0.58,6014,2.423
"Thursday, September 25, 2014",324,12750,4248,171,2554.82,14.94,0.6,6140,2.4033
"Wednesday, September 24, 2014",371,12836,4371,180,2507.38,13.93,0.57,6031,2.4053
"Tuesday, September 23, 2014",433,12780,4219,172,3748.7,21.79,0.89,8995,2.3995
"Monday, September 22, 2014",455,12645,4315,223,3440.59,15.43,0.8,8223,2.39
"Sunday, September 21, 2014",374,13179,4478,205,2125.43,10.37,0.47,5019,2.3614
"Saturday, September 20, 2014",436,13282,4209,232,3134.16,13.51,0.74,7401,2.3614
"Friday, September 19, 2014",348,13003,4144,187,2769.54,14.81,0.67,6540,2.3614
"Thursday, September 18, 2014",335,13035,4306,207,2540.38,12.27,0.59,6040,2.3776
"Wednesday, September 17, 2014",290,12220,4254,164,2226.93,13.58,0.52,5199,2.3346
"Tuesday, September 16, 2014",357,12739,4404,150,2411.6,16.08,0.55,5647,2.3416
"Monday, September 15, 2014",297,12992,4466,194,1667.24,8.59,0.37,3898,2.338
"Sunday, September 14, 2014",335,13483,4607,217,2199.68,10.14,0.48,5074,2.3067
"Saturday, September 13, 2014",370,13429,4324,202,2425.54,12.01,0.56,5595,2.3067
"Friday, September 12, 2014",379,13190,4300,212,3110.94,14.67,0.72,7176,2.3067
"Thursday, September 11, 2014",369,13026,4341,159,2569.82,16.16,0.59,5898,2.2951
"Wednesday, September 10, 2014",394,12997,4337,205,3008.2,14.67,0.69,6893,2.2914
"Tuesday, September 09, 2014",348,12947,4242,172,2818.99,16.39,0.66,6418,2.2767
"Monday, September 08, 2014",329,13135,4606,204,1982.97,9.72,0.43,4448,2.2431
"Sunday, September 07, 2014",374,13447,4483,221,2485.97,11.25,0.55,5583,2.2458
"Saturday, September 06, 2014",428,13464,4253,227,3764.36,16.58,0.89,8454,2.2458
"Friday, September 05, 2014",388,13018,4230,195,3577.79,18.35,0.85,8035,2.2458
"Thursday, September 04, 2014",347,13229,4421,202,2979.44,14.75,0.67,6679,2.2417
"Wednesday, September 03, 2014",233,12232,4230,228,1894.15,8.31,0.45,4234,2.2353
"Tuesday, September 02, 2014",286,12880,4381,233,2094.61,8.99,0.48,4720,2.2534
"Monday, September 01, 2014",237,13015,4389,196,1512.05,7.71,0.34,3382,2.2367
"Sunday, August 31, 2014",290,13696,4617,240,1666.3,6.94,0.36,3740,2.2445
"Saturday, August 30, 2014",347,13621,4380,223,2273.56,10.2,0.52,5103,2.2445
"Friday, August 29, 2014",287,13150,4275,198,2284.25,11.54,0.53,5127,2.2445
"Thursday, August 28, 2014",277,13126,4442,191,1646.57,8.62,0.37,3715,2.2562
"Wednesday, August 27, 2014",262,13089,4329,186,2091.24,11.24,0.48,4717,2.2556
"Tuesday, August 26, 2014",286,13163,4447,185,1821.48,9.85,0.41,4161,2.2844
"Monday, August 25, 2014",293,13282,4587,198,1760.32,8.89,0.38,4010,2.278
"Sunday, August 24, 2014",336,13923,4656,211,2433.83,11.53,0.52,5536,2.2746
"Saturday, August 23, 2014",401,13725,4392,235,2714.76,11.55,0.62,6175,2.2746
"Friday, August 22, 2014",385,13368,4246,216,3249.36,15.04,0.77,7391,2.2746
"Thursday, August 21, 2014",422,13232,4276,191,4041.14,21.16,0.95,9135,2.2605
"Wednesday, August 20, 2014",396,12781,4638,168,3525.65,20.99,0.76,7944,2.2532
"Tuesday, August 19, 2014",557,13593,4361,192,4899.0,25.52,1.12,11083,2.2623
"Monday, August 18, 2014",450,13534,4361,209,4126.51,19.74,0.95,9309,2.2559
"Sunday, August 17, 2014",365,14156,4928,268,1859.42,6.94,0.38,4206,2.262
"Saturday, August 16, 2014",426,13928,4619,247,2965.96,12.01,0.64,6709,2.262
"Friday, August 15, 2014",383,13517,4574,202,3037.58,15.04,0.66,6871,2.262
"Thursday, August 14, 2014",400,13210,4510,207,2578.25,12.46,0.57,5873,2.2779
"Wednesday, August 13, 2014",439,13152,4706,179,3333.19,18.62,0.71,7578,2.2735
"Tuesday, August 12, 2014",462,13141,4459,164,3195.16,19.48,0.72,7292,2.2822
"Monday, August 11, 2014",285,13358,4540,205,1849.17,9.02,0.41,4210,2.2767
"Sunday, August 10, 2014",409,14384,4649,248,2017.05,8.13,0.43,4615,2.288
"Saturday, August 09, 2014",457,14656,4398,246,3381.12,13.74,0.77,7736,2.288
"Friday, August 08, 2014",446,14344,4443,209,2850.96,13.64,0.64,6523,2.288
"Thursday, August 07, 2014",425,14282,4443,304,4036.49,13.28,0.91,9181,2.2745
"Wednesday, August 06, 2014",310,12644,4394,123,2326.12,18.91,0.53,5331,2.2918
"Tuesday, August 05, 2014",354,13501,4567,222,2944.94,13.27,0.64,6680,2.2683
"Monday, August 04, 2014",266,13709,4622,234,1908.82,8.16,0.41,4304,2.2548
"Sunday, August 03, 2014",364,14695,4736,288,1957.99,6.8,0.41,4465,2.2804
"Saturday, August 02, 2014",452,14775,4611,243,3332.75,13.72,0.72,7600,2.2804
"Friday, August 01, 2014",443,14605,4554,244,3331.43,13.65,0.73,7597,2.2804
"Thursday, July 31, 2014",456,14592,4892,227,3130.43,13.79,0.64,7056,2.254
"Wednesday, July 30, 2014",451,14747,4847,287,3025.63,10.54,0.62,6765,2.2359
"Tuesday, July 29, 2014",384,14088,5043,233,2828.15,12.14,0.56,6298,2.2269
"Monday, July 28, 2014",302,14264,5135,224,1774.23,7.92,0.35,3956,2.2297
"Sunday, July 27, 2014",342,14756,5070,280,1968.79,7.03,0.39,4390,2.2298
"Saturday, July 26, 2014",443,14636,4842,298,3044.67,10.22,0.63,6789,2.2298
"Friday, July 25, 2014",382,14348,4753,256,3080.99,12.04,0.65,6870,2.2298
"Thursday, July 24, 2014",389,14469,4904,261,3531.69,13.53,0.72,7834,2.2182
"Wednesday, July 23, 2014",334,14256,4730,222,2591.64,11.67,0.55,5748,2.2179
"Tuesday, July 22, 2014",358,14157,5023,208,2310.15,11.11,0.46,5135,2.2228
"Monday, July 21, 2014",256,14240,4957,248,1418.69,5.72,0.29,3159,2.2267
"Sunday, July 20, 2014",326,14301,4811,248,1963.76,7.92,0.41,4389,2.235
"Saturday, July 19, 2014",339,14205,4591,275,2142.73,7.79,0.47,4789,2.235
"Friday, July 18, 2014",345,14100,4722,235,2650.11,11.28,0.56,5923,2.235
"Thursday, July 17, 2014",339,14059,4794,221,2786.97,12.61,0.58,6218,2.2311
"Wednesday, July 16, 2014",340,13465,4864,226,2839.58,12.56,0.58,6305,2.2204
"Tuesday, July 15, 2014",390,14292,4788,232,3214.35,13.85,0.67,7123,2.216
"Monday, July 14, 2014",296,14390,5120,225,2351.14,10.45,0.46,5216,2.2185
"Sunday, July 13, 2014",363,14577,5191,288,2815.93,9.78,0.54,6266,2.2252
"Saturday, July 12, 2014",437,14869,4947,291,3512.49,12.07,0.71,7816,2.2252
"Friday, July 11, 2014",364,14424,4886,239,2725.6,11.4,0.56,6065,2.2252
"Thursday, July 10, 2014",398,14488,5193,293,3469.2,11.84,0.67,7711,2.2227
"Wednesday, July 09, 2014",425,14568,5257,250,2764.08,11.06,0.53,6123,2.2152
"Tuesday, July 08, 2014",485,14409,5168,276,3412.99,12.37,0.66,7584,2.2221
"Monday, July 07, 2014",408,14281,5001,263,2377.22,9.04,0.48,5271,2.2173
"Sunday, July 06, 2014",490,14661,5090,283,2390.72,8.45,0.47,5294,2.2144
"Saturday, July 05, 2014",467,14376,4875,257,2965.59,11.54,0.61,6567,2.2144
"Friday, July 04, 2014",521,14243,4751,245,2829.21,11.55,0.6,6265,2.2144
"Thursday, July 03, 2014",535,14441,4972,267,2582.06,9.67,0.52,5750,2.2269
"Wednesday, July 02, 2014",270,14502,4984,217,2059.77,9.49,0.41,4542,2.2051
"Tuesday, July 01, 2014",321,14389,5148,249,2938.84,11.8,0.57,6516,2.2172
"Monday, June 30, 2014",288,14433,5175,278,2469.16,8.88,0.48,5424,2.1967
"Sunday, June 29, 2014",332,14810,5220,288,2290.84,7.95,0.44,5030,2.1957
"Saturday, June 28, 2014",301,14218,4807,228,2662.93,11.68,0.55,5847,2.1957
"Friday, June 27, 2014",334,14470,4776,265,3036.39,11.46,0.64,6667,2.1957
"Thursday, June 26, 2014",310,14161,4973,260,2627.08,10.1,0.53,5814,2.2131
"Wednesday, June 25, 2014",173,13577,4098,164,1850.71,11.28,0.45,4096,2.2132
"Tuesday, June 24, 2014",290,14188,4999,221,2280.37,10.32,0.46,5059,2.2185
"Monday, June 23, 2014",320,14505,5318,246,2284.23,9.29,0.43,5084,2.2257
"Sunday, June 22, 2014",359,14900,5346,294,2141.83,7.29,0.4,4781,2.2322
"Saturday, June 21, 2014",[],14767,5086,315,2978.68,9.46,0.59,6649,2.2322
"Friday, June 20, 2014",[],14993,4949,420,2466.18,5.87,0.5,5505,2.2322
"Thursday, June 19, 2014",[],14874,5299,295,4028.83,13.66,0.76,9000,2.2339
"Wednesday, June 18, 2014",[],13199,4655,190,2288.63,12.05,0.49,5173,2.2603
"Tuesday, June 17, 2014",539,14541,5008,232,4740.92,20.43,0.95,10595,2.2348
"Monday, June 16, 2014",349,14724,4912,236,3002.96,12.72,0.61,6699,2.2308
"Sunday, June 15, 2014",470,15014,5088,328,3214.48,9.8,0.63,7194,2.238
"Saturday, June 14, 2014",598,15335,4866,340,5809.2,17.09,1.19,13001,2.238
"Friday, June 13, 2014",634,14674,4971,234,6597.41,28.19,1.33,14765,2.238
"Thursday, June 12, 2014",969,14847,4856,292,7945.47,27.21,1.64,17747,2.2336
"Wednesday, June 11, 2014",327,14161,4654,199,4229.18,21.25,0.91,9426,2.2288
